Vehicle Name,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width
Mercedes-Benz E500 4dr,5,8,302,16,20,3815,112,190,71
Mercedes-Benz G500,5,8,292,13,14,5423,112,186,71
Mercedes-Benz ML500,5,8,288,14,17,4874,111,183,72
Mercedes-Benz S430 4dr,4.3,8,275,18,26,4160,122,203,73
Mercedes-Benz S500 4dr,5,8,302,16,24,4390,122,203,73
Mercedes-Benz SL500 convertible 2dr,5,8,302,16,23,4065,101,179,72
Mercedes-Benz SL55 AMG 2dr,5.5,8,493,14,21,4235,101,179,72
Mercedes-Benz SL600 convertible 2dr,5.5,12,493,13,19,4429,101,179,72
Mercedes-Benz SLK230 convertible 2dr,2.3,4,192,21,29,3055,95,158,68
Mercedes-Benz SLK32 AMG 2dr,3.2,6,349,17,22,3220,95,158,68
Porsche 911 Carrera 4S coupe 2dr (convert),3.6,6,315,17,24,3240,93,175,72
Porsche 911 Carrera convertible 2dr (coupe),3.6,6,315,18,26,3135,93,175,70
Porsche 911 GT2 2dr,3.6,6,477,17,24,3131,93,175,72
Porsche 911 Targa coupe 2dr,3.6,6,315,18,26,3119,93,175,70
Porsche Boxster convertible 2dr,2.7,6,228,20,29,2811,95,170,70
Porsche Boxster S convertible 2dr,3.2,6,258,18,26,2911,95,170,70
Porsche Cayenne S,4.5,8,340,14,18,4950,112,188,76
Volkswagen Golf GLS 4dr,2,4,115,24,31,2897,99,165,68
Volkswagen GTI 1.8T 2dr hatch,1.8,4,180,24,31,2934,99,168,68
Volkswagen Jetta GL,2,4,115,24,30,3034,99,174,68
Volkswagen Jetta GLI VR6 4dr,2.8,6,200,21,30,3179,99,172,68
Volkswagen Jetta GLS TDI 4dr,1.9,4,100,38,46,3003,99,172,68
Volkswagen New Beetle GLS 1.8T 2dr,1.8,4,150,24,31,2820,99,161,68
Volkswagen New Beetle GLS convertible 2dr,2,4,115,24,30,3082,99,161,68
Volkswagen Passat GLS 1.8T,1.8,4,170,22,31,3338,106,184,69
Volkswagen Passat GLS 4dr,1.8,4,170,22,31,3241,106,185,69
Volkswagen Passat GLX V6 4MOTION 4dr,2.8,6,190,19,26,3721,106,185,69
Volkswagen Passat W8,4,8,270,18,25,4067,106,184,69
Volkswagen Passat W8 4MOTION 4dr,4,8,270,18,25,3953,106,185,69
Volkswagen Touareg V6,3.2,6,220,15,20,5086,112,187,76
